F1,Zip,City,Units Sold,Median Price,Year,County
1,84006,Copperton,4,,2003,Salt Lake
2,84009,South Jordan,0,,2003,Salt Lake
3,84020,Draper,141,"$253,000 ",2003,Salt Lake
4,84044,Magna,118,"$109,500 ",2003,Salt Lake
5,84047,Midvale,47,"$153,000 ",2003,Salt Lake
6,84065,Riverton,172,"$190,850 ",2003,Salt Lake
7,84070,Sandy,54,"$143,700 ",2003,Salt Lake
8,84081,West Jordan,0,,2003,Salt Lake
9,84084,West Jordan,178,"$146,450 ",2003,Salt Lake
10,84088,West Jordan,184,"$173,950 ",2003,Salt Lake
11,84092,Sandy,120,"$250,000 ",2003,Salt Lake
12,84093,Sandy,81,"$205,000 ",2003,Salt Lake
13,84094,Sandy,89,"$165,000 ",2003,Salt Lake
14,84095,South Jordan,125,"$239,000 ",2003,Salt Lake
15,84096,Herriman,0,,2003,Salt Lake
16,84101,Salt Lake City,6,"$64,500 ",2003,Salt Lake
17,84102,Salt Lake City,37,"$155,000 ",2003,Salt Lake
18,84103,Salt Lake City,68,"$239,950 ",2003,Salt Lake
19,84104,Salt Lake City,74,"$75,755 ",2003,Salt Lake
20,84105,Salt Lake City,104,"$184,200 ",2003,Salt Lake
21,84106,Salt Lake City,111,"$165,000 ",2003,Salt Lake
22,84107,Murray,59,"$141,000 ",2003,Salt Lake
23,84108,Salt Lake City,38,"$284,500 ",2003,Salt Lake
24,84109,Salt Lake City,64,"$213,950 ",2003,Salt Lake
25,84111,Salt Lake City,19,"$105,800 ",2003,Salt Lake
26,84115,South Salt Lake,66,"$108,500 ",2003,Salt Lake
27,84116,Salt Lake City,99,"$113,400 ",2003,Salt Lake
28,84117,Holladay,42,"$247,500 ",2003,Salt Lake
29,84118,Kearns,267,"$124,500 ",2003,Salt Lake
30,84119,West Valley City,113,"$124,900 ",2003,Salt Lake
31,84120,West Valley City,144,"$128,350 ",2003,Salt Lake
32,84121,Cottonwood,116,"$208,700 ",2003,Salt Lake
33,84123,Taylorsville,72,"$161,482 ",2003,Salt Lake
34,84124,Holladay,37,"$225,000 ",2003,Salt Lake
35,84128,West Valley,100,"$135,000 ",2003,Salt Lake
36,84129,Taylorsville,0,,2003,Salt Lake
37,84010,Bountiful,76,"$182,750 ",2003,Davis
38,84014,Centerville,25,"$171,000 ",2003,Davis
39,84015,Clearfield,201,"$123,500 ",2003,Davis
40,84025,Farmington,32,"$182,250 ",2003,Davis
41,84037,Kaysville,61,"$176,000 ",2003,Davis
42,84040,Layton,80,"$160,687 ",2003,Davis
43,84041,Layton,108,"$135,300 ",2003,Davis
44,84054,North Salt Lake,20,"$332,900 ",2003,Davis
45,84075,Syracuse,86,"$168,854 ",2003,Davis
46,84087,Woods Cross,31,"$159,500 ",2003,Davis
47,84067,Roy,160,"$122,000 ",2003,Weber
48,84310,Eden,16,"$210,000 ",2003,Weber
49,84315,Hooper,16,"$163,975 ",2003,Weber
50,84317,Huntsville,6,"$167,250 ",2003,Weber
51,84401,Marriott/Slaterville,112,"$77,575 ",2003,Weber
52,84403,South Ogden,160,"$101,545 ",2003,Weber
53,84404,Farr West/Harrisville,183,"$110,000 ",2003,Weber
54,84405,Riverdale/Ogden,98,"$127,450 ",2003,Weber
55,84414,North Ogden,77,"$155,000 ",2003,Weber
56,84022,Dugway,0,,2003,Tooele
57,84029,Grantsville,17,"$107,000 ",2003,Tooele
58,84071,Rush Valley,3,,2003,Tooele
59,84074,Tooele,167,"$118,575 ",2003,Tooele
60,84003,American Fork,99,"$190,000 ",2003,Utah
61,84004,Alpine,18,"$415,000 ",2003,Utah
62,84042,Lindon,15,"$269,125 ",2003,Utah
63,84043,Lehi,162,"$149,900 ",2003,Utah
64,84057,Orem,53,"$142,000 ",2003,Utah
65,84058,Orem,47,"$148,500 ",2003,Utah
